CAUGHT    | M1 daedalus tool becomes a host mutation |  | 1 error in 0.74s
CAUGHT    | M2 the offer ignores an available loop | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_confirmation_against_a_changed_policy_re_offers_instead_of_running; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_question_s_offer_confirms_into_a_proposal_never_a_run; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_an_unconfirmed_imperative_never_runs_the_loop; tests/test_ikarus_computer_dispatch.py::OfferTest::test_an_act_request_is_offered_as_a_computer_task; tests/test_ikarus_computer_dispatch.py::OfferTest::test_the_english_offer_reads_in_english; tests/test_ikarus_computer_dispatch.py::OfferTest::test_the_german_offer_names_planner_tools_and_egress | 12 failed, 281 passed, 61 subtests passed in 4.34s
CAUGHT    | M3 a confirmation never runs the loop | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_confirmation_against_a_changed_policy_re_offers_instead_of_running; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_typed_confirmation_runs_the_offered_objective; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_an_unconfirmed_imperative_never_runs_the_loop; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_the_streaming_confirmation_streams_the_loop_and_classifies_once; tests/test_ikarus_computer_dispatch.py::OfferTest::test_an_act_request_is_offered_as_a_computer_task; tests/test_ikarus_computer_dispatch.py::OfferTest::test_the_english_offer_reads_in_english | 14 failed, 279 passed, 61 subtests passed in 4.40s
CAUGHT    | M4 the offer's message drifts from run_command | tests/test_ikarus_computer_dispatch.py::OfferTest::test_an_act_request_is_offered_as_a_computer_task | 1 failed, 287 passed, 66 subtests passed in 4.56s
CAUGHT    | M5 Codex planner trusted | tests/runtimes/test_computer_daedalus.py::test_a_unique_hit_the_gate_withholds_answers_like_a_miss; tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text; tests/runtimes/test_computer_daedalus.py::test_allow_remote_context_does_not_promote_a_remote_planner_to_trusted; tests/runtimes/test_computer_daedalus.py::test_an_ambiguous_module_names_only_the_candidates_the_gate_admits; tests/runtimes/test_computer_daedalus.py::test_deny_content_applies_to_the_path_itself; tests/runtimes/test_computer_daedalus.py::test_docrefs_rows_go_through_the_gate_and_errors_are_a_count | 24 failed, 264 passed, 66 subtests passed in 5.06s
CAUGHT    | M6 module resolution accepts any path | tests/runtimes/test_computer_daedalus.py::test_a_unique_hit_the_gate_withholds_answers_like_a_miss; tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text; tests/runtimes/test_computer_daedalus.py::test_module_resolution_refuses_ambiguity_and_everything_outside_the_index[../../../etc/passwd-not in the project's index]; tests/runtimes/test_computer_daedalus.py::test_module_resolution_refuses_ambiguity_and_everything_outside_the_index[C:/Windows/system.ini-not in the project's index] | 4 failed, 284 passed, 66 subtests passed in 4.78s
CAUGHT    | M7 a refused read is filed as reconciliation | tests/runtimes/test_computer_daedalus.py::test_a_refused_read_is_effect_free_not_reconciliation | 1 failed, 287 passed, 66 subtests passed in 4.86s
CAUGHT    | M8 the family is offered without a project | tests/runtimes/test_computer_daedalus.py::test_a_project_without_readers_is_unavailable_and_refused_before_any_lease; tests/runtimes/test_computer_daedalus.py::test_without_a_project_the_family_is_reported_unavailable_and_never_leased | 2 failed, 286 passed, 66 subtests passed in 4.67s
CAUGHT    | M9 /computer run parses subcommands again | tests/test_ikarus_computer_dispatch.py::RunCommandTest::test_run_executes_the_objective_even_when_it_names_a_subcommand; tests/test_ikarus_computer_dispatch.py::RunCommandTest::test_run_without_an_objective_is_blocked_before_any_service | 2 failed, 286 passed, 66 subtests passed in 4.88s
CAUGHT    | M10 enable ignores the current policy digest | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_enable_adds_the_family_through_compare_and_replace | 1 failed, 287 passed, 66 subtests passed in 4.75s
CAUGHT    | M11 'verbessere' dropped from the act verbs | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_confirmation_against_a_changed_policy_re_offers_instead_of_running; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_an_unconfirmed_imperative_never_runs_the_loop; tests/test_ikarus_computer_dispatch.py::OfferTest::test_an_act_request_is_offered_as_a_computer_task; tests/test_ikarus_computer_dispatch.py::OfferTest::test_the_german_offer_names_planner_tools_and_egress; tests/test_ikarus_computer_dispatch.py::OfferTest::test_the_offer_egress_note_is_physics_not_the_consent_flag | 6 failed, 283 passed, 65 subtests passed in 5.48s
CAUGHT    | M12 slice text unbounded | tests/runtimes/test_computer_daedalus.py::test_slice_text_is_bounded_and_the_elision_is_reported | 1 failed, 287 passed, 66 subtests passed in 7.75s
CAUGHT    | M13 no act_offer on the computer offer (a typed ja stops confirming) | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_confirmation_against_a_changed_policy_re_offers_instead_of_running; tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_question_s_offer_confirms_into_a_proposal_never_a_run; tests/test_ikarus_computer_dispatch.py::OfferTest::test_an_act_request_is_offered_as_a_computer_task | 3 failed, 285 passed, 66 subtests passed in 4.91s
CAUGHT    | M14 stream path queues instead of running | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_the_streaming_confirmation_streams_the_loop_and_classifies_once | 1 failed, 287 passed, 66 subtests passed in 4.49s
